iter	Passed	Remaining
351	837	1541
352	838	1537
353	840	1532
354	841	1528
355	842	1524
356	844	1521
357	845	1517
358	847	1513
359	848	1509
360	850	1505
361	852	1502
362	853	1498
363	855	1494
364	857	1491
365	858	1487
366	860	1483
367	861	1479
368	863	1476
369	864	1472
370	866	1469
371	868	1465
372	869	1462
373	871	1458
374	872	1454
375	874	1450
376	875	1446
377	877	1443
378	878	1439
379	880	1435
380	881	1432
381	883	1429
382	884	1425
383	886	1421
384	887	1418
385	889	1414
386	890	1411
387	892	1407
388	893	1404
389	895	1400
390	897	1397
391	898	1393
392	900	1390
393	901	1387
394	903	1383
395	904	1380
396	906	1376
397	907	1373
398	909	1369
399	912	1368
400	914	1365
401	915	1362
402	917	1358
403	918	1355
404	920	1351
405	921	1348
406	923	1344
407	924	1341
408	926	1338
409	928	1335
410	929	1332
411	930	1328
412	932	1325
413	933	1321
414	935	1318
415	936	1315
416	938	1312
417	939	1308
418	941	1305
419	943	1302
420	944	1299
421	946	1296
422	948	1294
423	950	1291
424	952	1289
425	954	1286
426	956	1283
427	957	1280
428	959	1277
429	960	1273
430	962	1270
431	963	1267
432	965	1264
433	966	1260
434	968	1257
435	969	1254
436	971	1252
437	973	1248
438	974	1245
439	976	1242
440	977	1239
441	979	1236
442	980	1233
443	982	1229
444	983	1226
445	985	1224
446	987	1221
447	988	1218
448	990	1215
449	991	1212
450	993	1208
451	994	1205
452	996	1202
453	997	1199
454	999	1197
